URL;Label;Class;Importation;Wiki;Dbpedia;Web;Définition;Synonyme;Voir;JLMonfort
http://isi.cbs.nl/glossary/term228.htm;calculation en arrière;CalculationEnArriere;Non;;;;;;;
http://isi.cbs.nl/glossary/term467.htm;canonique;Canonique;Non;;;;;;;
http://isi.cbs.nl/glossary/term2716.htm;caractère aléatoire;CaractereAleatoire;Non;;;;;;;
http://isi.cbs.nl/glossary/term187.htm;caractère qualitatif;CaractereQualitatif;Non;;;;;;;
http://isi.cbs.nl/glossary/term3404.htm;caractère typique;CaractereTypique;Non;;;;;;;
http://isi.cbs.nl/glossary/term529.htm;caractéristique;Caracteristique;Non;;;;;;;
http://isi.cbs.nl/glossary/term530.htm;caractéristique;Caracteristique;Non;;;;;;;
http://isi.cbs.nl/glossary/term487.htm;caractéristique catégorielle;CaracteristiqueCategorielle;Non;;;;;;;
http://isi.cbs.nl/glossary/term2457.htm;caractéristique de performance;CaracteristiqueDePerformance;Non;;;;;;;
http://isi.cbs.nl/glossary/term2055.htm;caractéristique de tendance centrale;CaracteristiqueDeTendanceCentrale;Non;;;;;;;
http://isi.cbs.nl/glossary/term2349.htm;caractéristique du test;CaracteristiqueDuTest;Non;;;;;;;
http://isi.cbs.nl/glossary/term2457.htm;caractéristique du test;CaracteristiqueDuTest;Non;;;;;;;
http://isi.cbs.nl/glossary/term188.htm;caractéristique exceptionnelle;CaracteristiqueExceptionnelle;Non;;;;;;;
